7:eve01.cha-*CHI:	xxx at ?
3541:eve05.cha-*CHI:	xxx jump on my stool .
3546:eve05.cha-*CHI:	jump on my stool .
3584:eve05.cha-*CHI:	xxx sit on stool .
3700:eve06.cha-*CHI:	in fire . [+ RES]
3748:eve06.cha-*CHI:	jump off table . [+ RES]
3754:eve06.cha-*CHI:	(.) jump off table downstair(s) .
3760:eve06.cha-*CHI:	jump [/] Fraser jump off table .
3787:eve06.cha-*CHI:	cheese sandwich (.) xxx that piece o(f) cheese .
3802:eve06.cha-*CHI:	piece of cheese .
3841:eve06.cha-*CHI:	like that . [+ IMIT]
3847:eve06.cha-*CHI:	like that .
3850:eve06.cha-*CHI:	a@l b@l c@l like that .
3915:eve06.cha-*CHI:	look at Eve .
3936:eve06.cha-*CHI:	write on paper .
3982:eve06.cha-*CHI:	a piece of celery .
3985:eve06.cha-*CHI:	Fraser piece o(f) celery .
3997:eve06.cha-*CHI:	Eve piece o(f) celery .
4027:eve06.cha-*CHI:	you on my [!!] stool . [+ IMIT]
4053:eve07.cha-*CHI:	there grape juice on napkin .
4058:eve07.cha-*CHI:	behind +...
4070:eve07.cha-*CHI:	I put sugar in (i)t . [+ RES]
4086:eve07.cha-*CHI:	oh xxx in tomato soup cooking .
4092:eve07.cha-*CHI:	in tree top .
4108:eve07.cha-*CHI:	sitting on paper .
4147:eve07.cha-*CHI:	Mom put [/] put on floor .
4187:eve07.cha-*CHI:	that part of the top . [+ IMIT]
4192:eve07.cha-*CHI:	eat on table .
4202:eve07.cha-*CHI:	eat on table . [+ IMIT]
4311:eve07.cha-*CHI:	turn after Sarah .
4338:eve07.cha-*CHI:	(.) cracker on table .
4377:eve07.cha-*CHI:	after Sarah .
4401:eve07.cha-*CHI:	in the study . [+ RES]
4406:eve07.cha-*CHI:	in the study . [+ RES]
4416:eve07.cha-*CHI:	Eve have drink of milk .
4431:eve07.cha-*CHI:	xxx fall down floor . [+ RES]
4479:eve07.cha-*CHI:	drink out [//] grape juice out from cup .
4536:eve07.cha-*CHI:	no [/] (.) no xxx piece a [: of] paper .
4570:eve07.cha-*CHI:	baby Sarah lay down baby Sarah .
4620:eve07.cha-*CHI:	sugar in juice .
4687:eve07.cha-*CHI:	in Papa study .
4924:eve08.cha-*CHI:	in a minute .
4970:eve08.cha-*CHI:	need tapioca in the bowl .
4996:eve08.cha-*CHI:	no piece a [: of][* fil] cheese . [+ RES]
5021:eve08.cha-*CHI:	she drink out a cup . [+ IMIT]
5026:eve08.cha-*CHI:	baby Sarah drink out a cup . [+ IMIT]
5037:eve08.cha-*CHI:	baby Sarah drink out a bottle .
5058:eve08.cha-*CHI:	look (.) tapioca on Eve hand .
5092:eve08.cha-*CHI:	like front door .
5115:eve08.cha-*CHI:	more piece a [: of] cheese .
5126:eve08.cha-*CHI:	more piece a [: of] cheese .
5140:eve08.cha-*CHI:	xxx lie down radiator . [+ bch] [+ IMIT]
5148:eve08.cha-*CHI:	in washing+machine . [+ RES]
5174:eve08.cha-*CHI:	in the bed+room . [+ IMIT]
5202:eve08.cha-*CHI:	<in a minute> [/] in a minute .
5218:eve08.cha-*CHI:	in a minute . [+ RES]
5223:eve08.cha-*CHI:	in a minute . [+ RES]
5228:eve08.cha-*CHI:	in a minute .
5250:eve08.cha-*CHI:	in a minute .
5296:eve08.cha-*CHI:	at you one day . [+ IMIT]
5327:eve08.cha-*CHI:	children coming down stair .
5330:eve08.cha-*CHI:	Jody coming down the stair .
5333:eve08.cha-*CHI:	children coming down the stair .
5341:eve08.cha-*CHI:	after supper . [+ IMIT]
5346:eve08.cha-*CHI:	baby [/] baby Sarah do it in bed .
5372:eve08.cha-*CHI:	put napkin in the wastebasket . [+ RES]
5382:eve08.cha-*CHI:	I put napkin in the wastebasket . [+ RES]
5392:eve08.cha-*CHI:	put napkin in the wastebasket . [+ RES]
5397:eve08.cha-*CHI:	put me in the wastebasket .
5402:eve08.cha-*CHI:	put me in the wastebasket .
5413:eve08.cha-*CHI:	I put me in the wastebasket . [+ RES]
5424:eve08.cha-*CHI:	I put me in the wastebasket .
5429:eve08.cha-*CHI:	no put me in the wastebasket .
5434:eve08.cha-*CHI:	put me in the wastebasket .
5439:eve08.cha-*CHI:	yeah I put me in the wastebasket .
5445:eve08.cha-*CHI:	I put me in the wastebasket .
5456:eve08.cha-*CHI:	I put Mommy in the wastebasket .
5462:eve08.cha-*CHI:	I put Mommy in the wastebasket .
5468:eve08.cha-*CHI:	pillow on the floor .
5483:eve08.cha-*CHI:	Sue put (th)em back by the radiator .
5489:eve08.cha-*CHI:	put me in the wastebasket .
5494:eve08.cha-*CHI:	put me in the wastebasket .
5499:eve08.cha-*CHI:	put me in the wastebasket .
5510:eve08.cha-*CHI:	no (.) put me in the wastebasket .
5515:eve08.cha-*CHI:	Sue (.) Eve climbing on the stool .
5525:eve08.cha-*CHI:	you put milk in it .
5546:eve08.cha-*CHI:	put paper towel in the wastebasket .
5557:eve08.cha-*CHI:	in a minute .
5562:eve08.cha-*CHI:	in a minute .
5572:eve08.cha-*CHI:	in a minute .
5577:eve08.cha-*CHI:	in a minute .
5582:eve08.cha-*CHI:	in a minute .
5587:eve08.cha-*CHI:	in a minute .
5592:eve08.cha-*CHI:	in a minute .
5597:eve08.cha-*CHI:	in a minute .
5652:eve08.cha-*CHI:	Eve put in &cu cup . [+ RES]
5668:eve08.cha-*CHI:	in a minute .
5689:eve08.cha-*CHI:	jump Cathy spill grape juice on plate .
5700:eve08.cha-*CHI:	Cathy spill grape juice on the plate . [+ IMIT]
5716:eve08.cha-*CHI:	put on the counter . [+ IMIT]
5721:eve08.cha-*CHI:	put on the counter . [+ IMIT]
5732:eve08.cha-*CHI:	in toy box . [+ RES]
5755:eve08.cha-*CHI:	happy birthday day to you .
5760:eve08.cha-*CHI:	happy birthday day to you .
5771:eve08.cha-*CHI:	happy birthday day to you .
5776:eve08.cha-*CHI:	happy birthday day to you .
5781:eve08.cha-*CHI:	in the truck . [+ RES]
5854:eve08.cha-*CHI:	in a minute .
5859:eve08.cha-*CHI:	ice+cream cone on the table .
5869:eve08.cha-*CHI:	ice+cream cone on the table . [+ RES]
5885:eve08.cha-*CHI:	eat ice+cream cone in high+chair .
5906:eve08.cha-*CHI:	he go firetruck in firetruck .
5911:eve08.cha-*CHI:	man go in the firetruck .
5916:eve08.cha-*CHI:	man go in the firetruck .
5963:eve08.cha-*CHI:	more piece of cheese .
5974:eve08.cha-*CHI:	more [/] more piece a [: of][* fil] cheese (.) please . [+ RES]
6009:eve08.cha-*CHI:	for breakfast have Kix .
6029:eve08.cha-*CHI:	(.) t(r)uck on the table . [+ EIMIT]
6109:eve08.cha-*CHI:	have xxx in a kak@c . [+ bch] [+ RES]
6119:eve08.cha-*CHI:	pocket in coat . [+ IMIT]
6175:eve08.cha-*CHI:	one by Papa stool .
6241:eve08.cha-*CHI:	put over wagon . [+ IMIT]
6267:eve08.cha-*CHI:	more play with . [+ IMIT]
6288:eve08.cha-*CHI:	more milk on the table .
6301:eve08.cha-*CHI:	Mama put more water in it .
6306:eve08.cha-*CHI:	<Mom put> [/] Mom put more water in it .
6316:eve08.cha-*CHI:	in a minute .
6321:eve08.cha-*CHI:	in a minute .
6331:eve08.cha-*CHI:	in two minutes . [+ IMIT]
6341:eve08.cha-*CHI:	in two minutes . [+ IMIT]
6351:eve08.cha-*CHI:	in a minute .
6356:eve08.cha-*CHI:	in a minute .
6361:eve08.cha-*CHI:	in a minute .
6376:eve08.cha-*CHI:	in two +... [+ IMIT]
6392:eve08.cha-*CHI:	in the box .
6397:eve08.cha-*CHI:	I put in the box .
6402:eve08.cha-*CHI:	I put in the box .
6407:eve08.cha-*CHI:	in two week .
6412:eve08.cha-*CHI:	in two +...
6417:eve08.cha-*CHI:	xxx put in Fraser [/] Fraser briefcase . [+ bch]
6422:eve08.cha-*CHI:	put [/] put the box in Fraser briefcase .
6475:eve08.cha-*CHI:	in briefcase . [+ RES]
6508:eve08.cha-*CHI:	xxx in the basket . [+ bch]
6519:eve08.cha-*CHI:	I think (.) in the basket . [+ RES]
6549:eve08.cha-*CHI:	I think (.) in dolly bed .
6594:eve08.cha-*CHI:	sitting in baby Sarah chair ?
6653:eve09.cha-*CHI:	go on my hair . [+ RES]
6668:eve09.cha-*CHI:	in a minute .
6674:eve09.cha-*CHI:	in a minute .
6679:eve09.cha-*CHI:	in the toy box . [+ RES]
6706:eve09.cha-*CHI:	look at Eve .
6716:eve09.cha-*CHI:	in Sarah bed . [+ RES]
6731:eve09.cha-*CHI:	I put hole in xxx (.) Papa .
6745:eve09.cha-*CHI:	in the carriage . [+ RES]
6781:eve09.cha-*CHI:	bring Wednesday [//] on Wednesday .
6789:eve09.cha-*CHI:	in a minute .
6794:eve09.cha-*CHI:	in a minute .
6821:eve09.cha-*CHI:	le(t) me play with bouillon cube .
6832:eve09.cha-*CHI:	writing on my [/] my pencil .
6854:eve09.cha-*CHI:	writing with (.) Fraser pencil .
6870:eve09.cha-*CHI:	I playing game with Fraser .
6876:eve09.cha-*CHI:	from mailman . [+ RES]
6920:eve09.cha-*CHI:	piece a [: of] cheese .
6925:eve09.cha-*CHI:	piece a [: of] cheese . [+ RES]
6940:eve09.cha-*CHI:	look [/] look (.) Fraser (.) got piece a [: of] cheese .
6951:eve09.cha-*CHI:	in a mouth . [+ RES]
6965:eve09.cha-*CHI:	more piece a [: of] cheese .
6975:eve09.cha-*CHI:	on the floor +... [+ RES]
6985:eve09.cha-*CHI:	more piece a [: of] cheese . [+ IMP]
6990:eve09.cha-*CHI:	oh (.) in (.) chair . [+ RES]
7012:eve09.cha-*CHI:	on xxx new table . [+ IMIT]
7033:eve09.cha-*CHI:	I put (.) cheese sandwich on the plate .
7050:eve09.cha-*CHI:	on the plate . [+ RES]
7097:eve09.cha-*CHI:	up wall . [+ RES]
7107:eve09.cha-*CHI:	on the calendar .
7128:eve09.cha-*CHI:	for Papa for Mommy for Eve .
7133:eve09.cha-*CHI:	okay leave on table . [+ IMIT]
7176:eve09.cha-*CHI:	there (.) Cromer I put hole in dit [: it] .
7182:eve09.cha-*CHI:	I put hole in dit [: it] .
7236:eve09.cha-*CHI:	in the +...
7247:eve09.cha-*CHI:	in Fraser briefcase . [+ IMIT]
7264:eve09.cha-*CHI:	as she plays with fingernail tryin(g) fix my fingernail .
7292:eve09.cha-*CHI:	xxx in the kitchen .
7303:eve09.cha-*CHI:	eat on new table .
7314:eve09.cha-*CHI:	have lunch on the new table .
7351:eve09.cha-*CHI:	xxx sitting in xxx chair . [+ RES]
7362:eve09.cha-*CHI:	Sarah sitting in the kitchen .
7380:eve09.cha-*CHI:	Papa got feet on stool .
7396:eve09.cha-*CHI:	Papa have shoe on the floor .
7422:eve09.cha-*CHI:	blow with spoon . [+ RES]
7457:eve10.cha-*CHI:	bring on Wednesday .
7466:eve10.cha-*CHI:	xxx bring on Wednesday ?
7498:eve10.cha-*CHI:	on Wednesday . [+ IMIT]
7503:eve10.cha-*CHI:	write bring that [//] put on Wednesday .
7509:eve10.cha-*CHI:	doll on Wednesday .
7514:eve10.cha-*CHI:	be on Wednesday .
7545:eve10.cha-*CHI:	cut with the scissor(s) .
7550:eve10.cha-*CHI:	cut with my scissor(s) okay ?
7555:eve10.cha-*CHI:	cut with my scissor(s) okay ?
7566:eve10.cha-*CHI:	I put it in the box .
7593:eve10.cha-*CHI:	in the cupboard .
7610:eve10.cha-*CHI:	put it back in the cupboard . [+ IMIT]
7621:eve10.cha-*CHI:	write on Fraser paper .
7637:eve10.cha-*CHI:	Mom oh spilled on my leotards .
7643:eve10.cha-*CHI:	Fraser write with this .
7660:eve10.cha-*CHI:	Cromer [//] Fraser sit in the chair .
7668:eve10.cha-*CHI:	in the chair . [+ RES]
7694:eve10.cha-*CHI:	sitting on the couch . [+ RES]
7704:eve10.cha-*CHI:	with a pencil . [+ RES]
7709:eve10.cha-*CHI:	I write with Fraser .
7714:eve10.cha-*CHI:	write with my crayons .
7720:eve10.cha-*CHI:	have in the pocket .
7725:eve10.cha-*CHI:	put in my pocket .
7730:eve10.cha-*CHI:	(.) xxx in my pocket .
7735:eve10.cha-*CHI:	no put in [/] in Fraser pocket . [+ RES]
7740:eve10.cha-*CHI:	xxx put in Fraser pocket .
7745:eve10.cha-*CHI:	in my pocket .
7750:eve10.cha-*CHI:	I put in [/] in other pocket .
7761:eve10.cha-*CHI:	I put in pocket .
7767:eve10.cha-*CHI:	put in Fraser pocket .
7772:eve10.cha-*CHI:	take out my pocket .
7777:eve10.cha-*CHI:	I put in Fraser pocket .
7782:eve10.cha-*CHI:	in Fraser pocket .
7787:eve10.cha-*CHI:	put in my pocket .
7793:eve10.cha-*CHI:	put them in pocket .
7798:eve10.cha-*CHI:	put em in my pocket .
7817:eve10.cha-*CHI:	Cromer come on Wednesday .
7822:eve10.cha-*CHI:	in the basement . [+ RES]
7828:eve10.cha-*CHI:	Fraser come on Wednesday .
7833:eve10.cha-*CHI:	put in Fraser pocket .
7838:eve10.cha-*CHI:	happy birthday to you .
7843:eve10.cha-*CHI:	happy birthday to you .
7848:eve10.cha-*CHI:	happy birthday to you .
7858:eve10.cha-*CHI:	happy birthday to you .
7863:eve10.cha-*CHI:	on the floor .
7868:eve10.cha-*CHI:	put on the floor .
7873:eve10.cha-*CHI:	put on the floor .
7884:eve10.cha-*CHI:	put peg on the floor . [+ RES]
7889:eve10.cha-*CHI:	I put on the floor .
7894:eve10.cha-*CHI:	put on the floor .
7905:eve10.cha-*CHI:	have lunch on the table .
7921:eve10.cha-*CHI:	I goin(g) talk on the telephone .
7932:eve10.cha-*CHI:	Fraser (.) I go talk on the telephone .
7950:eve10.cha-*CHI:	on the telephone . [+ RES]
7959:eve10.cha-*CHI:	telephone put on the table .
7965:eve10.cha-*CHI:	xxx in bed . [+ RES]
7975:eve10.cha-*CHI:	yeah in clean bed . [+ RES]
7990:eve10.cha-*CHI:	xxx put it on the table .
8001:eve10.cha-*CHI:	I have write on [/] on Fraser paper .
8022:eve10.cha-*CHI:	picking up a leaves [=? leave] . [+ RES]
8048:eve10.cha-*CHI:	I play with this . [+ IMIT]
8065:eve10.cha-*CHI:	dog sit on the cup . [+ IMIT]
8077:eve10.cha-*CHI:	I put the Papa aw [: on] [* fil] (.) top .
8083:eve10.cha-*CHI:	goin(g) put the doll in the box .
8089:eve10.cha-*CHI:	in Fraser bag .
8099:eve10.cha-*CHI:	it falled [: fell] [* +ed] in the briefcase .
8104:eve10.cha-*CHI:	it falled [: fell] [* +ed] in the briefcase . [+ RES]
8109:eve10.cha-*CHI:	falled [: fell] [* +ed] in the briefcase .
8114:eve10.cha-*CHI:	falled [: fell] [* +ed] in the briefcase .
8119:eve10.cha-*CHI:	falled [: fell] [* +ed] in the briefcase .
8124:eve10.cha-*CHI:	falled [: fell] [* +ed] in the briefcase .
8161:eve10.cha-*CHI:	mhm: (.) a piece of bread with peanut+butter . [+ IMIT]
8206:eve10.cha-*CHI:	Fraser put em back in the box . [+ IMIT]
8276:eve10.cha-*CHI:	in bed (.) sleeping .
8281:eve10.cha-*CHI:	upstairs (.) in bed . [+ RES]
8286:eve10.cha-*CHI:	upstair(s) (.) in [/] in the living+room . [+ RES]
8302:eve10.cha-*CHI:	&uh (.) in Cromer living+room . [+ RES]
8317:eve10.cha-*CHI:	on t_v . [+ RES]
8333:eve10.cha-*CHI:	on t_v . [+ RES]
8343:eve10.cha-*CHI:	on show . [+ RES]
8348:eve10.cha-*CHI:	on the show . [+ RES]
8363:eve11.cha-*CHI:	in my pocket .
8369:eve11.cha-*CHI:	xxx put in my pocket .
8394:eve11.cha-*CHI:	Eve in the snow .
8409:eve11.cha-*CHI:	peanut+butter on the paddle [= wooden spoon] .
8424:eve11.cha-*CHI:	for Mom .
8432:eve11.cha-*CHI:	(un)til my tied . [+ IMIT]
8448:eve11.cha-*CHI:	in [/] in Wednesday . [+ RES]
8513:eve11.cha-*CHI:	Fraser got under xxx shirt .
8533:eve11.cha-*CHI:	from Fraser . [+ RES]
8583:eve11.cha-*CHI:	you give for Papa . [+ RES]
8588:eve11.cha-*CHI:	I got peanut+butter on the paddle .
8593:eve11.cha-*CHI:	peanut+butter on the paddle .
8598:eve11.cha-*CHI:	peanut+butter on the paddle .
8603:eve11.cha-*CHI:	peanut+butter on the paddle .
8623:eve11.cha-*CHI:	Fraser (.) I bit a hole in it . [+ IMIT]
8628:eve11.cha-*CHI:	I bit a hole in it .
8638:eve11.cha-*CHI:	in my [/] my paddle .
8649:eve11.cha-*CHI:	no (.) out_of paddle . [+ RES]
8666:eve11.cha-*CHI:	by the sugar .
8689:eve11.cha-*CHI:	I bit a hole in it .
8707:eve11.cha-*CHI:	Sue (.) I bit a hole in it .
8723:eve11.cha-*CHI:	I bit a hole in it .
8734:eve11.cha-*CHI:	I bite a hole in it .
8739:eve11.cha-*CHI:	I bite a hole in it .
8750:eve11.cha-*CHI:	I sit in my high+chair yesterday .
8756:eve11.cha-*CHI:	sit in my high+chair . [+ RES]
8761:eve11.cha-*CHI:	she goin(g) in my high+chair . [+ IMIT]
8767:eve11.cha-*CHI:	in my high+chair . [+ RES]
8772:eve11.cha-*CHI:	in my mouth . [+ RES]
8802:eve11.cha-*CHI:	on Wednesday . [+ RES]
8807:eve11.cha-*CHI:	on Wednesday . [+ RES]
8817:eve11.cha-*CHI:	you write with this .
8828:eve11.cha-*CHI:	Fraser (.) the dolls not in you briefcase .
8833:eve11.cha-*CHI:	the dolls not in you briefcase . [+ RES]
8838:eve11.cha-*CHI:	let's put some in .
8846:eve11.cha-*CHI:	like that one . [+ RES]
8851:eve11.cha-*CHI:	Sarah laying on the floor .
8863:eve11.cha-*CHI:	with my pencil .
8879:eve11.cha-*CHI:	yours on the table .
8884:eve11.cha-*CHI:	write on that paper .
8895:eve11.cha-*CHI:	playing with Fraser . [+ RES]
8915:eve11.cha-*CHI:	I have in my hand . [+ RES]
8932:eve11.cha-*CHI:	fix it with the scissor(s) .
8958:eve11.cha-*CHI:	just with my fingernail . [+ RES]
8974:eve11.cha-*CHI:	two knife out the box . [+ IMIT]
8979:eve11.cha-*CHI:	Sue making more coffee for Fraser ?
8991:eve11.cha-*CHI:	Fraser (.) I lay on the stool .
9056:eve11.cha-*CHI:	standing up (.) Cromer .
9103:eve11.cha-*CHI:	I don't sit on Cromer coffee .
9122:eve11.cha-*CHI:	sit on dolly .
9128:eve11.cha-*CHI:	piece a [: of] cheese .
9133:eve11.cha-*CHI:	like my pink bibbie . [+ RES]
9148:eve12.cha-*CHI:	little piece o(f) fuzz <on Fra(ser)> [/] on Fraser paper .
9182:eve12.cha-*CHI:	let me put [/] put it in the mailbox .
9194:eve12.cha-*CHI:	I playing with it .
9199:eve12.cha-*CHI:	I playing with it . [+ RES]
9204:eve12.cha-*CHI:	in Papa desk .
9214:eve12.cha-*CHI:	on Saturday . [+ RES]
9229:eve12.cha-*CHI:	no (.) Mom do it for me . [+ RES]
9234:eve12.cha-*CHI:	when xxx wake up a nap .
9242:eve12.cha-*CHI:	Mom fix it for me .
9248:eve12.cha-*CHI:	let me read it for you . [+ RES]
9253:eve12.cha-*CHI:	you can't have another pocket in you pocket .
9259:eve12.cha-*CHI:	we go put it in the mailbox .
9264:eve12.cha-*CHI:	we go put you glass in the mailbox .
9293:eve12.cha-*CHI:	put these in the mailbox .
9305:eve12.cha-*CHI:	in the mailbox .
9319:eve12.cha-*CHI:	xxx play with that paper .
9367:eve12.cha-*CHI:	Cromer have bring on Wednesday .
9398:eve12.cha-*CHI:	for put in .
9412:eve12.cha-*CHI:	you can xxx play with it .
9440:eve12.cha-*CHI:	xxx have lion on them .
9451:eve12.cha-*CHI:	that for me .
9467:eve12.cha-*CHI:	I want it in a sandwich . [+ RES]
9489:eve12.cha-*CHI:	in the snow . [+ RES]
9541:eve12.cha-*CHI:	in Papa study ?
9551:eve12.cha-*CHI:	in Papa study .
9561:eve12.cha-*CHI:	time for dessert . [+ IMIT]
9577:eve12.cha-*CHI:	on the porch ? [+ IMIT]
9587:eve12.cha-*CHI:	in he bed on the porch ?
9593:eve12.cha-*CHI:	downstairs on the porch .
9616:eve12.cha-*CHI:	Sue (.) hold it for me . [+ IMP]
9627:eve12.cha-*CHI:	birthday cake for me . [+ RES]
9632:eve12.cha-*CHI:	I go sit on that .
9672:eve12.cha-*CHI:	xxx hole in dit@c .
9704:eve12.cha-*CHI:	I go wear xxx on my head too .
9726:eve12.cha-*CHI:	not too big for you [!!] . [+ IMIT]
9737:eve12.cha-*CHI:	Fraser (.) Cromer have bring on Wednesday .
9764:eve12.cha-*CHI:	xxx in the tree top .
9772:eve12.cha-*CHI:	I go write with yours .
9778:eve12.cha-*CHI:	go write with mines [: mine] [* +s-pos] .
9783:eve12.cha-*CHI:	put your pencil in too .
9812:eve12.cha-*CHI:	<put in> [/] put in your finger . [+ IMP]
9818:eve12.cha-*CHI:	put in your finger . [+ IMP]
9824:eve12.cha-*CHI:	Fraser (.) put <that in> [/] that in yours . [+ IMP]
9844:eve12.cha-*CHI:	with my finger .
9859:eve12.cha-*CHI:	you write with this . [+ IMP]
9870:eve12.cha-*CHI:	Mom go bring [/] bring it <in the> [/] <in the truck> [/] in the truck .
9876:eve12.cha-*CHI:	xxx go pee+pee in my big girl pants .
9900:eve12.cha-*CHI:	don't you pee+pee in the big girl pant(s) .
9906:eve12.cha-*CHI:	I go hammer in the floor .
9917:eve12.cha-*CHI:	with [/] with you finger .
9934:eve12.cha-*CHI:	Sue [/] Sue (.) I go put these in a envelope .
9968:eve12.cha-*CHI:	xxx put it in mouth . [+ RES]
9985:eve12.cha-*CHI:	that belong on the board .
10000:eve12.cha-*CHI:	I go put on my words .
10016:eve12.cha-*CHI:	I want a piece of cheese .
10032:eve12.cha-*CHI:	those have put my bicycle in the truck .
10066:eve12.cha-*CHI:	we going into Boston .
10114:eve12.cha-*CHI:	let me play with Jim .
10119:eve12.cha-*CHI:	let me play with Jim .
10171:eve12.cha-*CHI:	in the high+chair .
10193:eve12.cha-*CHI:	it's on the table . [+ RES]
10204:eve12.cha-*CHI:	on [!!] the table . [+ RES]
10227:eve12.cha-*CHI:	Fraser have a move in that chair .
10239:eve12.cha-*CHI:	Mom (.) you go lay on that pillow ?
10267:eve12.cha-*CHI:	xxx to empa@c Hall . [+ RES]
10272:eve12.cha-*CHI:	Fraser go sitting in that chair ?
10290:eve12.cha-*CHI:	Sue (.) we eat on napkin (.) with our birthday cake .
10314:eve12.cha-*CHI:	Sue came in with me .
10346:eve13.cha-*CHI:	let me xxx with the crayons .
10357:eve13.cha-*CHI:	color xxx with it . [+ RES]
10369:eve13.cha-*CHI:	that belong to fireplace an(d) [/] and Pop +...
10374:eve13.cha-*CHI:	cut [/] cut with my scissors .
10379:eve13.cha-*CHI:	I can't write with it .
10384:eve13.cha-*CHI:	write with it . [+ RES]
10389:eve13.cha-*CHI:	not on my nose . [+ RES]
10394:eve13.cha-*CHI:	I can't write with orange one .
10404:eve13.cha-*CHI:	no (.) he at Wednesday .
10414:eve13.cha-*CHI:	he: a:t schoo:l . [+ IMIT]
10420:eve13.cha-*CHI:	cut xxx with my paper .
10425:eve13.cha-*CHI:	sit on my stool .
10431:eve13.cha-*CHI:	sit on my stool and do it .
10437:eve13.cha-*CHI:	I go over my scissors +... [+ RES]
10448:eve13.cha-*CHI:	no (.) you read it to me . [+ IMP]
10464:eve13.cha-*CHI:	read Pancake [= book] for you . [+ RES]
10501:eve13.cha-*CHI:	go on the subway train . [+ RES]
10517:eve13.cha-*CHI:	for you . [+ RES]
10537:eve13.cha-*CHI:	d@l go on that side .
10542:eve13.cha-*CHI:	Fraser (.) I spell cat@q for you . [+ MLR]
10580:eve13.cha-*CHI:	I eat the <string beans after> [/] string beans after my eat my lunch .
10583:eve13.cha-*CHI:	I stare at you .
10589:eve13.cha-*CHI:	I stare at you . [+ RES]
10611:eve13.cha-*CHI:	<my cheese> [/] my cheese have [/] have a holes in it .
10634:eve13.cha-*CHI:	Swiss cheese have holes in it .
10651:eve13.cha-*CHI:	for me too .
10656:eve13.cha-*CHI:	that for me .
10666:eve13.cha-*CHI:	that for me .
10671:eve13.cha-*CHI:	that for me .
10682:eve13.cha-*CHI:	this is for me .
10687:eve13.cha-*CHI:	it for me .
10704:eve13.cha-*CHI:	for Pop . [+ IMIT]
10714:eve13.cha-*CHI:	for Pop . [+ IMIT]
10729:eve13.cha-*CHI:	for he lunch . [+ IMIT]
10758:eve13.cha-*CHI:	he want some milk out the cup .
10775:eve13.cha-*CHI:	<Sarah go> [/] Sarah go drink out Mom breast .
10801:eve13.cha-*CHI:	xxx Sarah with my sticky finger ?
10818:eve13.cha-*CHI:	putting my sticky finger on my cheek . [+ RES]
10839:eve13.cha-*CHI:	you pick the letters with me . [+ IMP]
10863:eve13.cha-*CHI:	you come on Wednesday .
